시설명,userid,평점,코멘트
성모병원장례식장,ugbbd4p81,1,가족 여행에 적합하지 않았습니다.
강원도영월의료원,xpdbft8p8,1,시설 내부가 좁고 불편했습니다.
대명콘도 양평 ,gkqnmd01m,5,친절한 직원들이 인상적이었습니다.
하루애드림치과,ywccfi6y4,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
 주 강촌레일파크,bujyv5ya2,2,시설 관리가 잘 안되고 있었습니다.
제주OK렌터카,aubrcrw3g,1,아이들이 놀기에 안전하지 않았습니다.
달음산자연휴양림,maasgyolg,3,뷰가 정말 아름다웠어요!
엠플러스병원,gddzpjbfe,2,시설이 너무 붐비고 혼잡했습니다.
태백시 용연동굴,cwmiiuppq,1,전반적으로 만족스럽지 않았습니다.
마포구 체육시설,lcqzk3wg4,3,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
국립대구기상과학관,xraevt4dt,4,서비스와 시설 모두 훌륭합니다.
명복공원,wlmnhsgqt,4,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
제주절물휴양림,tsmzan78g,2,자연 경관이 좋지 않았습니다.
전하울산촌생태마을,vdgrgz6a6,1,시설이 매우 실망스러웠습니다.
대한안과의사회 한길안과병원 ,wokmarag8,1,주차 공간이 부족했습니다.
CGV 영화관,fvfapevrq,5,시설 이용이 매우 편리하고 좋았습니다.
남해군 공영주차장,mqfec1qs1,4,한 번쯤은 꼭 가볼 만한 곳입니다.
the큰병원,cvsgvgcl5,2,시설이 현대적이지 않고 매우 낡았습니다.
대전대학교 대전한방병원,tvnon0bbm,4,서비스가 매우 친절하고 전문적이었습니다.
울산시 체육시설,znzrbfsrw,1,직원들이 조금 더 친절했으면 좋겠습니다.
진주시 농기계임대사업소,emunrng1e,3,시설 내 편의시설이 잘 갖춰져 있었습니다.
인천광역시 미추홀구 체육시설,vxiestup1,5,매우 만족합니다.
양주시 옥정배수지체육공원,rifpovuwe,2,청결한 환경이 아니었습니다.
구리왕숙체육공원,flqxug161,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
오서산휴양림,ipoeu0238,2,편의시설이 부족했습니다.
전주경기전,fvrnr8huz,3,시설 내 편의시설이 잘 갖춰져 있었습니다.
대전한국병원,dnhdwf13g,4,자연 경관이 매우 아름답습니다.
태백시 주차장,oclco0xzb,4,직원들이 친절하고 도움이 많이 되었습니다.
과천시청 부설주차장,liuzwczwn,2,청결한 환경이 아니었습니다.
진주시청 부설주차장,knqtljoav,5,시설의 청결 상태가 매우 좋았습니다.
선동잔디구장,iawcpi44z,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
김해시 보건소,hamqncj6k,3,시설의 청결 상태가 매우 좋았습니다.
여수시 체육시설,wgloeg3gq,5,뷰가 정말 아름다웠어요!
힐 카페,xrrqko1af,2,시설이 불편하고 깨끗하지 않았습니다.
강북구 공영주차장,ghcgpyn2j,2,자연과의 접촉이 부족했습니다.
창명제어기술,ktbbrpgsr,2,활동이 다양하지 않았습니다.
남해군 이순신 영상관,sohtr4tfe,3,시설이 매우 잘 관리되고 있었습니다.
한국폴리텍7부산캠퍼스,dwmret97i,4,가족 여행에 추천합니다.
고려대학교 안산병원,juzntyqge,3,서비스와 시설 모두 훌륭합니다.
대한안과의사회 조병춘안과 ,lwmujyfsr,4,휴식을 취하기에 최적의 장소였습니다.
대명콘도 경주 ,ybdss30a1,1,여름에는 너무 더웠습니다.
춘천시공영주차장,trgsbvhcl,3,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
양주시 보건소,jjihmcejd,5,가족 여행에 추천합니다.
창녕공설테니스장,gtcth9nru,3,가족과 함께 즐거운 시간을 보냈습니다.
대구보훈병원,tblisj2w5,1,시설의 위치가 불편해서 접근성이 떨어졌습니다.
뿌리병원,krzxkb0ys,4,서비스가 정말 좋았어요.
광양시 주민자치센터,aarpr7j5b,2,시설 이용이 매우 불편했습니다.
대명콘도 경주 ,iupflddh2,3,다음에 또 오고 싶어요.
영광군 대마 전기자동차산업단지 체육시설,kharwo0fb,5,다양한 활동과 프로그램이 있어 좋았습니다.
울산시 체육시설,hdmvj6asb,3,주변 경관이 아름답습니다.
광명새움병원,scjnqrv4k,1,조금 아쉬운 부분이 있었어요.
의왕시 장사시설,elqtoizbq,2,아이들이 놀기에 안전하지 않았습니다.
밀양아리랑 우주천문대,xnfdl85j7,3,시설 사용이 매우 편리했습니다.
대한안과의사회 목동 연세안과 ,mmgmfjthy,4,친절한 직원들이 인상적이었습니다.
거제식물원,ushjhnlqt,2,뷰가 별로였습니다.
대전시립제2노인전문병원,wdsogena8,2,시설 내 모든 것이 정돈되지 않았습니다.
대구사격장,oaqvv169i,4,가격 대비 만족도가 높았습니다.
서산시 공영주차장,amerullbc,3,여기서 많은 추억을 만들었어요.
종로구 체육시설,wlgppc7f9,2,가격 대비 품질이 좋지 않았습니다.
과천시 시립예술단체,ixbgvf2tv,5,시설의 청결 상태가 매우 좋았습니다.
하남시 공영주차장,vbhisa5nf,1,시설의 위치가 불편해서 접근성이 떨어졌습니다.
성남시 주민자치센터,dkixt02cl,3,다양한 편의시설이 있어 편리했습니다.
중앙대학교병원,jjoatzdz4,2,친절한 직원들이 부족했습니다.
광명새움병원,ropjl158p,1,가격 대비 만족도가 낮았습니다.
영광군 공영주차장,graxarla5,5,서비스와 시설 모두 훌륭합니다.
순천향대학교 부속 천안병원,duiezpmux,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
부산디지털대학교,imuql7zua,3,여름에 가면 더욱 좋을 것 같아요.
수원중앙병원,trppkh5qb,1,여름에는 너무 더웠습니다.
보훈휴양원,uvhdu5jq4,1,시설 이용이 매우 불편했습니다.
대한안과의사회 서울성모안과 ,ahjvn3juc,1,체험 프로그램이 유익하지 않았습니다.
한림대학교 춘천성심병원,mwrwitec7,1,가격 대비 품질이 좋지 않았습니다.
여수시 체육시설,pbxgxnehq,4,휴식을 취하기에 최적의 장소였습니다.
창원자생한방병원,sxwpbfpyj,2,친절한 직원들이 부족했습니다.
해남군 고산유적지,mnrqhcjyf,5,전체적으로 기대 이상이었습니다.
동군산종합병원,xcbgxt774,2,시설 내부가 좁고 불편했습니다.
울산자생한방병원,bupwsjxzx,1,시설의 청결 상태가 불만족스러웠습니다.
연세유펜치과,rrkqje38k,1,시설 내부가 좁고 불편했습니다.
경희대스포츠클리닉,ceyvyq9ug,5,다양한 활동과 프로그램이 있어 좋았습니다.
창녕군민체육관,qzfoqfcdp,1,시설이 낡고 깨끗하지 않았습니다.
커피놀이터,umixabvl2,3,휴식을 취하기에 최적의 장소입니다.
퍼스트짐 휘트니스,nbeftu4gb,3,깨끗하고 편안했어요.
광양시 보건소,tomil9h2i,2,시설 내부가 좁고 불편했습니다.
전주동물원,qmkqnqzsi,3,깨끗하고 정돈된 환경이 좋았습니다.
비전직업전문학교,ylvotq7ez,5,조용하고 한적한 곳이라 마음에 들었습니다.
과천시 청소년수련관,isqxm3tl7,4,아이들과 함께 즐거운 시간을 보냈어요.
대구연세안과,enlxh8hf2,4,다시 방문하고 싶어요.
붉은오름자연휴양림,gswjse7g3,1,시설이 조금 낡았지만 여전히 좋았습니다.
의령 보건소,xvlmnlljb,5,다양한 활동과 프로그램이 있어 좋았습니다.
하동군 국민체육센터,plzxm7wfc,4,뷰가 정말 아름다웠어요!
장안통닭,adjxsjk9r,4,친구들에게 추천할 만한 좋은 곳입니다.
메종글래드 제주,oyirm9ppa,1,시설 관리가 잘 안되고 있었습니다.
안산시 체육시설,xemgqhnhh,1,주차 공간이 부족했습니다.
하남시 공영주차장,lysjwzh93,5,주변 경관이 아름답습니다.
가평군 청평생활체육공원,efgoxp4sx,3,시설 이용이 매우 편리하고 좋았습니다.
시흥시 오이도박물관,wbcfeg27c,2,자연 경관이 좋지 않았습니다.
대가야박물관,zxnpeoxyj,3,친구들에게 추천할 만한 좋은 곳입니다.
태백시 보건소,lxksh9dsu,5,여기서 많은 추억을 만들었어요.
송원대학교,npdqp3qfc,3,시설 사용이 매우 편리했습니다.
중랑구 공영주차장,usuipepvd,4,가족 여행에 추천합니다.
만장굴,dpcwv620h,4,가격 대비 만족도가 높았습니다.
나나성형외과,vvbgy5uqu,5,전망대에서 보는 풍경이 최고였습니다.
비자림,jimuxiz1e,5,주변 경관이 아름답습니다.
금호콘도 제주 ,tckdcgai5,2,시설 관리가 잘 안되고 있었습니다.
전하울산촌생태마을,nwkkk3kec,3,서비스와 시설이 매우 인상적이었습니다.
전주자연생태박물관,yfnity50p,5,시설이 매우 깔끔하고 현대적이었습니다.
대한안과의사회-눈사랑안과,ahzdigczq,4,시설의 청결 상태가 매우 좋았습니다.
광양시 주민자치센터,ediltb1as,1,가족 여행에 적합하지 않았습니다.
대한안과의사회 목동 연세안과 ,lzxjvzpet,4,매우 만족합니다.
국립백두대간수목원,kjfpvzrio,3,친구들에게 추천할 만한 좋은 곳입니다.
해인의료재단 강화병원,gdnerdo1m,3,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
연제구 공영주차장,fkchzgj8p,5,다양한 활동을 즐길 수 있어서 좋았어요.
곡성군 자연휴식지,buxcp6qzv,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
대한안과의사회 우리눈안과 ,xihav4ve8,1,서비스가 불만족스러웠습니다.
용성통닭,fhaqzljrx,4,가격 대비 만족도가 높았습니다.
김재성 치과의원,wemon608z,5,시설 내 편의시설이 잘 갖춰져 있었습니다.
안산시 올림픽기념국민생활관,zhawahgqb,4,시설 사용이 매우 편리했습니다.
개벽장학회,nejgmq8yc,3,자연과 함께하는 시간이 힐링이 되었어요.
철원병원,shyzjaucq,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
안산시 공영주차장,lppazrzsr,4,서비스가 매우 친절하고 전문적이었습니다.
제주씨월드,sifavfypa,4,깨끗하고 정돈된 환경이 좋았습니다.
김안과병원,jlmxnt1w3,1,다양한 활동과 프로그램이 부족했습니다.
대한안과의사회 센텀소중한눈안과 ,veevctfuk,1,가족 모두가 만족하지 않았습니다.
송파구 보건소,mbobhzxzo,4,위치가 좋아서 접근성이 뛰어납니다.
뿌리병원,davfxwcnl,4,여기서 많은 추억을 만들었어요.
청주병원,qlwyhhy0z,5,시설이 매우 잘 관리되고 있었습니다.
광주시 주민자치센터,vkhjlhj29,5,뷰가 정말 아름다웠어요!
영월군 지정문화재,dcicpxit8,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
대산미술관,wtolk4x9b,5,가격 대비 만족도가 높았습니다.
국민건강보험공단 일산병원,tysll3sb8,3,여름에 가면 더욱 좋을 것 같아요.
근로복지공단 대구병원,jimby1bbt,2,시설 내 모든 것이 정돈되지 않았습니다.
클로엔여성 피부과,umbvikme4,4,다양한 활동을 즐길 수 있어서 좋았어요.
구갈서울안과,jhljxb0wz,4,위치가 좋아서 접근성이 뛰어납니다.
효성병원 장례식장,rtivdvjf2,4,가성비가 좋습니다.
킹덤치과,gfpkj26g1,3,시설의 청결 상태가 매우 좋았습니다.
한길이에스티,bhvnbi8f7,4,가성비가 좋습니다.
거창군 수승대야영장,qvrgkf7mu,2,아이들이 놀기에 안전하지 않았습니다.
광명당안경원,mionphhzb,1,친절한 직원들이 부족했습니다.
변산자연휴양림,bhupusyz5,1,시설 이용이 불편했고 안내가 부족했습니다.
인천광역시 청사 부설주차장,pzrhynud2,5,다양한 활동과 프로그램이 있어 좋았습니다.
독일안경원,drygvy1oc,3,친절한 직원들이 인상적이었습니다.
해녀박물관,tfbhpbs0r,3,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
태백국민체육센터,exxrmn3bx,4,환경이 매우 청결하고 좋았습니다.
두타산휴양림,ntngczqkt,4,추천합니다!
대한안과의사회 센텀소중한눈안과 ,fzbet3wka,1,가격 대비 만족도가 낮았습니다.
CM세무직업전문학교,wrorykxhf,5,시설 사용이 매우 편리했습니다.
장안통닭,pyjzqwdp3,2,시설 내 모든 것이 정돈되지 않았습니다.
강서구 공영주차장,ljzafiomc,2,시설 이용이 매우 불편했습니다.
세종시 공영주차장,fmdsbj1j9,1,가족 여행에 적합하지 않았습니다.
하남시 공영주차장,tsqyvcmem,1,주변 경관이 별로였습니다.
태백고생대자연사박물관,bgmrq0dgo,1,서비스와 시설이 매우 실망스러웠습니다.
거제삼성호텔,kueogmado,2,직원들이 조금 더 친절했으면 좋겠습니다.
대한안과의사회-천안김안과 천안역본점,mrinti7v3,4,전망대에서 보는 풍경이 최고였습니다.
이크루즈,rmjitn5gc,4,자연과 함께하는 시간이 힐링이 되었어요.
정방폭포,gdkac0gjt,3,가족 여행에 추천합니다.
한국민속촌,jinxn4cpb,1,가격 대비 품질이 좋지 않았습니다.
남해군 거북선,lcggnpyx2,1,시설의 청결 상태가 불만족스러웠습니다.
광주연세안과,qahibwbe0,2,시설 사용이 매우 불편했습니다.
용화산휴양림,jqewg6ngk,1,편의시설이 부족했습니다.
미소진치과의원,ywfjdjm3f,2,주변 자연 경관이 좋지 않았습니다.
제일장례식장,jqveu26nm,3,자연과 함께하는 시간이 힐링이 되었어요.
대한안과의사회 현탑안과 ,iergnu9wg,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
국립대구기상과학관,ulveb3pm7,3,전반적으로 만족스러운 경험이었습니다.
수원시 화성주차장 주차료,xpdesknby,1,시설이 너무 붐비고 혼잡했습니다.
밀양시 공영주차장,ldcejydp8,1,친절한 직원들이 부족했습니다.
동하재활의학과의원,vtnlx5w3y,2,친절한 직원들이 부족했습니다.
김포우리병원,sdurlqs5j,5,서비스와 시설 모두 훌륭합니다.
아중요양병원,ujuqtc74l,2,다양한 활동과 프로그램이 부족했습니다.
한국원자력의학원원자력병원,gguheamcc,2,가격 대비 만족도가 낮았습니다.
도봉구 공영주차장,vxtuqf8mr,4,시설이 매우 깔끔하고 현대적이었습니다.
대아의료재단 한도병원,ydjbvwsaf,5,한 번쯤은 꼭 가볼 만한 곳입니다.
관악구 체육시설,bjvau8mrb,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
효성병원,jgwlmsli6,4,환경이 매우 청결하고 좋았습니다.
밀양아리랑 우주천문대,oeihj5f6a,4,편리한 위치에 있어 접근하기 쉬웠습니다.
안동의료원,oanyolfc7,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
백제병원,fatlrt08w,3,깨끗하고 편안했어요.
노원구 공영주차장,amugwxraq,2,주변 경관이 별로였습니다.
강원특별자치도재활병원,nxiif2can,5,체험 프로그램이 매우 유익했습니다.
보성군청소년문화의집,oinnqn5ul,3,친구들에게 추천할 만한 곳입니다.
대한안과의사회-밝은빛안과,fbtffzvbs,1,친절한 직원들이 부족했습니다.
위클리피플 주간인물 ,wytqreuqh,5,전반적으로 만족스러운 경험이었습니다.
수원 서안과,rdxxl67qt,2,다양한 활동과 프로그램이 부족했습니다.
하동군 다목적캠핑장,cnaxo1d2p,4,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
